iter	Passed	Remaining
0	127	127063
1	130	64877
2	132	44118
3	133	33264
4	134	26759
5	135	22425
6	136	19307
7	136	16983
8	137	15150
9	138	13686
10	138	12487
11	139	11489
12	140	10652
13	141	9931
14	141	9304
15	142	8759
16	143	8273
17	143	7846
18	144	7460
19	145	7114
20	145	6797
21	146	6505
22	147	6244
23	147	6004
24	148	5783
25	148	5576
26	149	5386
27	150	5216
28	150	5052
29	151	4897
30	152	4753
31	152	4617
32	153	4490
33	153	4373
34	154	4264
35	155	4160
36	155	4058
37	156	3962
38	157	3870
39	157	3783
40	158	3701
41	158	3622
42	159	3546
43	159	3474
44	160	3406
45	161	3340
46	161	3277
47	162	3216
48	162	3159
49	163	3105
50	164	3052
51	164	3002
52	165	2953
53	165	2906
54	166	2861
55	167	2817
56	167	2775
57	168	2736
58	169	2696
59	169	2657
60	170	2619
61	170	2583
62	171	2548
63	171	2513
64	172	2480
65	173	2448
66	173	2417
67	173	2383
68	174	2354
69	175	2325
70	175	2297
71	176	2270
72	176	2246
73	177	2222
74	178	2197
75	178	2173
76	179	2150
77	179	2127
78	180	2105
79	181	2084
80	181	2062
81	182	2042
82	183	2022
83	183	2002
84	184	1981
85	184	1961
86	185	1942
87	185	1924
88	186	1907
89	186	1889
90	187	1872
91	188	1856
92	188	1839
93	189	1823
94	189	1808
95	190	1792
96	190	1777
97	191	1763
98	192	1750
99	193	1737
100	193	1724
101	194	1708
102	194	1695
103	195	1682
104	195	1670
105	196	1657
106	197	1645
107	197	1632
108	198	1621
109	198	1609
110	199	1598
111	200	1588
112	200	1577
113	201	1566
114	202	1555
115	202	1544
116	203	1533
117	203	1523
118	204	1511
119	204	1502
120	205	1492
121	206	1483
122	206	1471
123	207	1463
124	207	1454
125	208	1445
126	208	1436
127	209	1426
128	209	1417
129	210	1409
130	211	1401
131	211	1392
132	212	1385
133	213	1377
134	213	1369
135	214	1361
136	214	1353
137	215	1345
138	215	1337
139	216	1329
140	217	1322
141	217	1314
142	218	1307
143	218	1300
144	219	1293
145	219	1286
146	220	1279
147	221	1272
148	221	1266
149	222	1259
150	223	1254
151	223	1248
152	224	1241
153	224	1235
154	225	1228
155	225	1222
156	226	1216
157	227	1210
158	227	1204
159	228	1198
160	228	1192
161	229	1187
162	230	1182
163	230	1176
164	231	1171
165	232	1165
166	232	1160
167	233	1155
168	233	1150
169	234	1145
170	235	1139
171	235	1134
172	236	1129
173	236	1125
174	237	1120
175	238	1116
176	239	1111
177	239	1106
178	240	1101
179	240	1097
180	241	1091
181	241	1086
182	242	1082
183	243	1077
184	243	1073
185	244	1068
186	244	1064
187	245	1060
188	246	1055
189	246	1051
190	247	1047
191	247	1042
192	248	1038
193	248	1034
194	249	1029
195	250	1025
196	250	1021
197	251	1017
198	251	1013
199	252	1009
200	253	1005
201	253	1001
202	254	998
203	254	994
204	255	990
205	255	986
206	256	982
207	257	979
208	257	975
209	258	972
210	259	968
211	259	964
212	260	961
213	260	957
214	261	954
215	261	950
216	262	947
217	263	943
218	263	940
219	264	936
220	264	933
221	265	929
222	265	926
223	266	923
224	267	920
225	267	917
226	268	913
227	268	910
228	269	907
229	270	904
230	270	901
231	271	898
232	271	895
233	272	892
234	273	889
235	273	886
236	274	883
237	275	880
238	276	878
239	276	876
240	277	873
241	277	870
242	278	867
243	279	865
244	279	862
245	280	859
246	281	857
247	281	854
248	282	851
249	283	849
250	283	846
251	284	843
252	284	841
253	285	838
254	286	835
255	286	833
256	287	830
257	287	828
258	288	825
259	289	822
260	289	820
261	290	818
262	290	815
263	291	812
264	292	810
265	292	808
266	293	805
267	294	803
268	294	800
269	295	798
270	295	795
271	296	793
272	297	791
273	297	789
274	298	786
275	299	784
276	299	782
277	300	779
278	300	777
279	301	774
280	301	772
281	302	770
282	303	767
283	303	765
284	304	763
285	305	761
286	305	759
287	306	757
288	306	754
289	307	752
290	307	750
291	308	748
292	309	745
293	309	743
294	310	741
295	310	739
296	311	736
297	311	734
298	312	732
299	313	730
300	313	728
301	314	726
302	314	724
303	315	722
304	316	720
305	316	718
306	317	716
307	318	715
308	318	713
309	319	711
310	320	709
311	320	707
312	321	705
313	322	703
314	322	701
315	323	699
316	323	698
317	324	695
318	325	694
319	325	692
320	326	690
321	326	688
322	327	686
323	328	684
324	328	682
325	329	681
326	329	679
327	330	677
328	331	675
329	331	673
330	332	672
331	333	670
332	333	668
333	334	667
334	335	665
335	335	663
336	336	661
337	336	659
338	337	657
339	337	655
340	338	654
341	339	652
342	339	650
343	340	648
344	340	646
345	341	645
346	341	643
347	342	641
348	343	640
349	343	638
350	344	636
351	345	635
352	345	633
353	346	632
354	347	630
355	347	629
356	348	627
357	349	626
358	349	624
359	350	623
360	351	621
361	351	619
362	352	618
363	352	616
364	353	615
365	354	613
366	355	612
367	355	610
368	356	609
369	357	607
370	357	606
371	358	604
372	358	603
373	359	601
374	360	600
375	360	598
376	361	597
377	362	596
378	362	594
379	363	593
380	364	591
381	364	590
382	365	588
383	365	587
384	366	585
385	367	584
386	367	582
387	368	581
388	369	579
389	369	578
390	370	576
391	371	575
392	371	574
393	372	572
394	372	571
395	373	569
396	374	568
397	375	567
398	375	565
399	376	564
400	376	562
401	377	561
402	378	560
403	378	558
404	379	557
405	379	555
406	380	554
407	381	552
408	381	551
409	382	549
410	382	548
411	383	546
412	383	545
413	384	543
414	384	542
415	385	541
416	386	539
417	386	538
418	387	536
419	387	535
420	388	534
421	388	532
422	389	531
423	390	529
424	390	528
425	391	527
426	391	525
427	392	524
428	392	522
429	393	521
430	393	520
431	394	518
432	395	517
433	395	516
434	396	514
435	396	513
436	397	511
437	397	510
438	398	509
439	399	507
440	399	506
441	400	505
442	400	503
443	401	502
444	402	501
445	402	500
446	403	499
447	404	497
448	404	496
449	405	495
450	406	494
451	406	493
452	407	492
453	408	490
454	408	489
455	409	488
456	410	487
457	410	486
458	411	484
459	412	483
460	412	482
461	413	481
462	414	480
463	414	479
464	415	477
465	416	476
466	416	475
467	417	474
468	418	473
469	418	472
470	419	471
471	420	470
472	420	468
473	421	467
474	422	466
475	422	465
476	423	464
477	424	463
478	424	462
479	425	460
480	425	459
481	426	458
482	427	457
483	427	456
484	428	454
485	429	453
486	429	452
487	430	451
488	431	450
489	431	449
490	432	448
491	433	447
492	433	446
493	434	445
494	435	443
495	435	442
496	436	441
497	436	440
498	437	439
499	438	438
500	438	437
501	439	435
502	440	434
503	440	433
504	441	432
505	441	431
506	442	430
507	443	429
508	443	428
509	444	427
510	445	426
511	445	424
512	446	423
513	447	422
514	448	421
515	448	420
516	449	419
517	450	418
518	450	417
519	451	416
520	452	415
521	452	414
522	453	413
523	453	412
524	454	411
525	455	410
526	455	409
527	456	408
528	457	407
529	457	405
530	458	404
531	459	403
532	459	402
533	460	401
534	460	400
535	461	399
536	462	398
537	462	397
538	463	396
539	463	395
540	464	394
541	465	392
542	465	391
543	466	390
544	466	389
545	467	388
546	468	387
547	468	386
548	469	385
549	469	384
550	470	383
551	471	382
552	471	381
553	472	380
554	473	379
555	473	378
556	474	377
557	475	376
558	475	375
559	476	374
560	477	373
561	478	372
562	478	371
563	479	370
564	480	369
565	480	368
566	481	367
567	482	366
568	483	366
569	483	365
570	484	364
571	485	363
572	485	362
573	486	361
574	487	360
575	487	359
576	488	358
577	488	357
578	489	356
579	490	355
580	490	354
581	491	353
582	492	351
583	492	350
584	493	349
585	494	349
586	494	348
587	495	347
588	496	346
589	496	345
590	497	344
591	497	343
592	498	342
593	499	341
594	499	340
595	500	339
596	501	338
597	501	337
598	502	336
599	503	335
600	503	334
601	504	333
602	505	332
603	505	331
604	506	330
605	507	329
606	507	328
607	508	327
608	508	326
609	509	325
610	510	324
611	510	323
612	511	322
613	511	321
614	512	320
615	512	319
616	513	318
617	514	317
618	514	316
619	515	315
620	515	314
621	516	313
622	516	312
623	517	311
624	518	310
625	518	309
626	519	308
627	519	307
628	520	306
629	520	305
630	521	304
631	521	303
632	522	302
633	523	301
634	523	300
635	524	300
636	524	299
637	525	298
638	526	297
639	526	296
640	527	295
641	528	294
642	528	293
643	529	292
644	530	291
645	530	290
646	531	289
647	532	288
648	532	288
649	533	287
650	533	286
651	534	285
652	535	284
653	535	283
654	536	282
655	536	281
656	537	280
657	538	279
658	539	279
659	539	278
660	540	277
661	541	276
662	541	275
663	542	274
664	542	273
665	543	272
666	544	271
667	544	270
668	545	269
669	545	268
670	546	267
671	547	267
672	547	266
673	548	265
674	548	264
675	549	263
676	550	262
677	551	261
678	551	260
679	552	259
680	552	259
681	553	258
682	554	257
683	555	256
684	555	255
685	556	254
686	557	253
687	557	252
688	558	252
