iter	Passed	Remaining
0	118	118798
1	120	60061
2	121	40343
3	122	30423
4	122	24448
5	123	20448
6	124	17594
7	124	15451
8	125	13785
9	125	12452
10	126	11364
11	127	10459
12	127	9697
13	128	9050
14	129	8479
15	129	7978
16	130	7536
17	130	7141
18	131	6789
19	132	6471
20	132	6195
21	133	5935
22	134	5697
23	134	5482
24	135	5280
25	135	5093
26	136	4923
27	137	4762
28	137	4612
29	138	4472
30	138	4342
31	139	4219
32	140	4108
33	141	4009
34	141	3911
35	142	3819
36	143	3729
37	144	3663
38	145	3584
39	146	3514
40	147	3441
41	147	3371
42	148	3306
43	149	3242
44	149	3182
45	150	3124
46	151	3069
47	152	3016
48	153	2970
49	153	2921
50	154	2874
51	155	2827
52	155	2783
53	156	2743
54	157	2708
55	158	2670
56	159	2633
57	160	2598
58	160	2563
59	161	2528
60	161	2493
61	162	2459
62	163	2426
63	163	2394
64	164	2363
65	164	2332
66	165	2303
67	166	2275
68	166	2248
69	168	2235
70	168	2209
71	169	2184
72	170	2164
73	171	2140
74	171	2118
75	172	2097
76	173	2074
77	173	2052
78	174	2032
79	174	2011
80	175	1991
81	176	1972
82	176	1950
83	177	1934
84	178	1918
85	178	1902
86	179	1885
87	180	1870
88	181	1858
89	183	1859
90	184	1845
91	185	1831
92	186	1817
93	187	1802
94	187	1787
95	188	1773
96	188	1758
97	189	1745
98	190	1730
99	190	1717
100	191	1704
101	192	1690
102	192	1678
103	193	1667
104	194	1660
105	195	1650
106	196	1642
107	197	1630
108	198	1618
109	198	1607
110	199	1595
111	199	1583
112	200	1572
113	200	1561
114	201	1550
115	201	1539
116	202	1527
117	203	1517
118	203	1507
119	204	1497
120	204	1488
121	205	1478
122	206	1469
123	206	1459
124	207	1450
125	207	1441
126	208	1431
127	208	1422
128	209	1413
129	210	1405
130	210	1397
131	211	1389
132	211	1381
133	212	1374
134	213	1366
135	213	1358
136	214	1351
137	215	1343
138	215	1336
139	216	1329
140	217	1322
141	217	1314
142	218	1307
143	218	1300
144	219	1294
145	220	1287
146	221	1283
147	221	1277
148	222	1271
149	223	1266
150	224	1262
151	225	1257
152	225	1251
153	228	1254
154	228	1248
155	229	1241
156	230	1235
157	230	1229
158	231	1226
159	232	1220
160	232	1213
161	233	1207
162	233	1201
163	234	1195
164	235	1189
165	235	1184
166	236	1178
167	236	1173
168	237	1167
169	238	1162
170	238	1158
171	239	1153
172	240	1148
173	240	1143
174	242	1143
175	243	1139
176	243	1134
177	244	1129
178	245	1123
179	245	1118
180	246	1114
181	246	1109
182	247	1104
183	248	1100
184	248	1095
185	249	1091
186	249	1086
187	250	1082
188	251	1078
189	252	1075
190	253	1072
191	253	1068
192	254	1065
193	255	1063
194	258	1065
195	258	1061
196	259	1057
197	260	1053
198	260	1049
199	261	1045
200	262	1041
201	262	1037
202	263	1033
203	263	1029
204	264	1025
205	265	1021
206	265	1017
207	266	1013
208	266	1009
209	267	1005
210	267	1002
211	268	998
212	269	995
213	269	991
214	270	987
215	271	984
216	271	981
217	272	977
218	273	974
219	273	971
220	274	968
221	275	964
222	275	961
223	276	958
224	277	954
225	277	951
226	278	948
227	279	945
228	279	942
229	280	939
230	281	935
231	281	932
232	282	929
233	282	925
234	283	922
235	283	919
236	284	915
237	285	912
238	285	909
239	286	906
240	287	905
241	288	902
242	288	899
243	289	897
244	290	894
245	290	891
246	291	889
247	292	886
248	292	883
249	293	880
250	294	878
251	295	876
252	296	873
253	296	871
254	297	869
255	298	866
256	298	863
257	299	860
258	299	857
259	300	855
260	301	852
261	302	852
262	303	850
263	304	849
264	305	847
265	306	845
266	306	842
267	307	840
268	308	837
269	308	834
270	309	832
271	310	830
272	310	827
273	311	825
274	312	823
275	312	820
276	313	818
277	314	815
278	314	813
279	315	810
280	315	808
281	317	808
282	318	806
283	319	804
284	319	801
285	320	799
286	321	797
287	322	797
288	323	794
289	323	792
290	324	790
291	325	788
292	326	786
293	326	784
294	327	782
295	327	779
296	328	777
297	328	774
298	329	772
299	330	770
300	330	767
301	331	765
302	332	764
303	333	762
304	333	760
305	334	758
306	335	756
307	335	754
308	336	752
309	336	749
310	337	747
311	338	745
312	338	743
313	339	741
314	340	739
315	340	737
316	341	735
317	342	733
318	342	731
319	343	729
320	344	727
321	344	726
322	345	723
323	346	721
324	348	722
325	348	721
326	349	719
327	350	717
328	350	715
329	351	713
330	352	711
331	352	709
332	353	708
333	354	707
334	355	705
335	356	703
336	356	702
337	357	700
338	358	698
339	359	697
340	359	695
341	360	693
342	361	691
343	361	690
344	362	688
345	363	687
346	364	685
347	364	683
348	365	681
349	365	679
350	366	677
351	367	676
352	367	674
